team,Seas_Opp_3PT_Succ
Louisiana,0.27899999999999997
Seattle,0.29100000000000004
UMass Lowell,0.292
Albany,0.293
NC Central,0.297
Utah St,0.297
J Madison,0.297
Mississippi St,0.298
Oklahoma,0.299
Cleveland St,0.3
Houston,0.301
Green Bay,0.302
Auburn,0.302
S Illinois,0.303
Penn St,0.303
Wagner,0.304
W Illinois,0.304
Virginia,0.305
Boise St,0.305
New Hampshire,0.305
Akron,0.307
New Mexico,0.307
Colgate,0.307
Georgia St,0.308
Pittsburgh,0.308
Hawai'i,0.308
Bryant,0.308
Merrimack,0.31
San Diego St,0.31
LIU,0.311
Texas A&M-CC,0.311
Charlotte,0.311
Tennessee,0.312
C Michigan,0.312
Kansas St,0.312
UConn,0.312
Delaware,0.313
VCU,0.313
UMBC,0.313
Drexel,0.314
AR-Pine Bluff,0.314
Richmond,0.314
N Kentucky,0.315
Purdue,0.315
S Florida,0.315
Iowa St,0.315
Miami OH,0.315
Nevada,0.315
Vermont,0.315
SE Missouri St,0.315
Santa Clara,0.317
Alabama,0.317
Duquesne,0.318
Morehead St,0.318
Marist,0.318
Duke,0.318
S Alabama,0.319
E Michigan,0.319
CS Fullerton,0.319
Charleston So,0.319
Winthrop,0.32
Dayton,0.32
BYU,0.32
Colorado,0.32
N Arizona,0.32
Saint Peter's,0.321
App State,0.321
North Carolina,0.321
SMU,0.321
Texas St,0.321
Nicholls,0.321
UCSB,0.321
Grand Canyon,0.321
UTEP,0.321
Illinois Chicago,0.322
Texas Tech,0.322
Southern,0.322
Creighton,0.32299999999999995
Little Rock,0.32299999999999995
Saint Mary's,0.32299999999999995
Liberty,0.32299999999999995
Maine,0.32299999999999995
Kansas City,0.324
Texas So,0.324
Butler,0.324
Bucknell,0.324
W Kentucky,0.324
Radford,0.324
UNLV,0.325
Sam Houston,0.325
Washington St,0.325
Notre Dame,0.325
Abl Christian,0.325
Illinois St,0.325
Nebraska,0.325
NW State,0.326
Utah Valley,0.326
Georgia Tech,0.326
Temple,0.326
Florida,0.326
Michigan St,0.326
UC Davis,0.327
Purdue FW,0.327
Wichita St,0.327
Montana St,0.327
Tulsa,0.327
Rutgers,0.327
UT Martin,0.327
Tennessee St,0.327
Maryland,0.32799999999999996
Villanova,0.32799999999999996
Davidson,0.32799999999999996
NC Asheville,0.32899999999999996
Navy,0.32899999999999996
Arizona,0.32899999999999996
Kent St,0.33
Colorado St,0.33
Seton Hall,0.33
Belmont,0.33
Maryland ES,0.33
Bradley,0.33
Saint Joseph's,0.33
Coastal Car,0.33
TCU,0.33
Missouri St,0.33
E Carolina,0.331
Georgia,0.331
Wake Forest,0.331
Clemson,0.331
Brown,0.331
Princeton,0.332
CS Northridge,0.332
Army,0.332
Kentucky,0.332
Oregon St,0.332
Lamar,0.332
Miami,0.33299999999999996
S Indiana,0.33299999999999996
Towson,0.33299999999999996
Drake,0.33299999999999996
Chicago St,0.33299999999999996
McNeese,0.33399999999999996
Le Moyne,0.33399999999999996
SE Louisiana,0.33399999999999996
Cornell,0.33399999999999996
Baylor,0.33399999999999996
Xavier,0.335
St Bonaventure,0.335
NC State,0.335
Tarleton St,0.335
LSU,0.335
Louisiana Tech,0.335
N Texas,0.335
UMass,0.335
S Carolina St,0.336
Utah,0.336
Texas,0.336
Cincinnati,0.336
UCSD,0.336
E Tennessee St,0.337
Washington,0.337
Marquette,0.337
UCLA,0.337
Ohio,0.337
Gardner-Webb,0.337
Florida Atlantic,0.337
Mississippi,0.33799999999999997
UC Irvine,0.33799999999999997
St Thomas,0.33799999999999997
Middle Tenn,0.33799999999999997
Texas A&M,0.33799999999999997
Samford,0.33799999999999997
W Carolina,0.33899999999999997
San Diego,0.33899999999999997
Hampton,0.33899999999999997
South Carolina,0.33899999999999997
Virginia Tech,0.33899999999999997
UT Rio Grande,0.33899999999999997
Harvard,0.33899999999999997
Utah Tech,0.33899999999999997
Arkansas,0.33899999999999997
Arizona St,0.33899999999999997
Quinnipiac,0.33899999999999997
SC Upstate,0.33899999999999997
Columbia,0.33899999999999997
Iona,0.34
Austin Peay,0.34
Memphis,0.34
UCF,0.34
Hou Christian,0.34
Youngstown St,0.34
Monmouth,0.34
Oklahoma St,0.34
Toledo,0.34
Alabama St,0.341
Loyola Chi,0.341
Illinois,0.341
Fairfield,0.341
W Michigan,0.341
High Point,0.341
Furman,0.341
Queens,0.341
Campbell,0.341
Gonzaga,0.341
Bethune,0.341
Mercer,0.342
Montana,0.342
Milwaukee,0.342
Elon,0.342
San Francisco,0.342
CS Bakersfield,0.34299999999999997
Indiana,0.34299999999999997
Providence,0.34299999999999997
Cal Baptist,0.34299999999999997
NC Greensboro,0.34299999999999997
Grambling,0.34299999999999997
S Utah,0.34299999999999997
Robert Morris,0.34299999999999997
Lafayette,0.34299999999999997
Howard,0.34299999999999997
Loyola Mymt,0.34299999999999997
Canisius,0.344
Oakland,0.344
Missouri,0.344
Wyoming,0.344
Northwestern,0.344
Rider,0.344
Norfolk St,0.345
Coppin St,0.345
Charleston,0.345
Yale,0.345
Mt St Mary's,0.34600000000000003
Stetson,0.34600000000000003
Boston College,0.34600000000000003
Kansas,0.34600000000000003
UT Arlington,0.34600000000000003
Boston U,0.34600000000000003
Hofstra,0.34600000000000003
Syracuse,0.34700000000000003
New Mexico St,0.34700000000000003
G Washington,0.34700000000000003
Indiana St,0.34700000000000003
Ohio St,0.34700000000000003
George Mason,0.34700000000000003
Stony Brook,0.348
Tenn Tech,0.348
Longwood,0.348
William & Mary,0.348
UAB,0.348
Tulane,0.349
C Connecticut,0.349
Jacksonville St,0.349
Bellarmine,0.35
West Virginia,0.35
St John's,0.35
Oregon,0.35
N Iowa,0.35
NJIT,0.35
Sacramento St,0.35
Niagara,0.35
Binghamton,0.35
E Texas A&M,0.35
Chattanooga,0.35100000000000003
Ball St,0.35100000000000003
Presbyterian,0.35200000000000004
The Citadel,0.35200000000000004
Prairie View,0.35200000000000004
Alabama A&M,0.35200000000000004
Long Beach St,0.35200000000000004
NC A&T,0.35200000000000004
North Dakota,0.35200000000000004
Weber St,0.35200000000000004
Siena,0.35200000000000004
Arkansas St,0.35200000000000004
Jackson St,0.35200000000000004
Georgetown,0.353
Morgan St,0.353
Sacred Heart,0.353
UC Riverside,0.353
Florida A&M,0.353
St Francis PA,0.354
Florida St,0.354
N Alabama,0.354
Georgia So,0.355
N Florida,0.355
S Dakota St,0.355
Old Dominion,0.355
NC Wilmington,0.355
New Orleans,0.355
Evansville,0.355
N Colorado,0.355
Cal Poly,0.35600000000000004
Portland St,0.35600000000000004
Lehigh,0.35600000000000004
Loyola MD,0.35600000000000004
Southern Miss,0.35700000000000004
Pacific,0.35700000000000004
Rhode Island,0.35700000000000004
California,0.35700000000000004
Omaha,0.35700000000000004
F Dickinson,0.35700000000000004
Stanford,0.35700000000000004
Jacksonville,0.35700000000000004
Wofford,0.35700000000000004
Fordham,0.35700000000000004
UL Monroe,0.358
Idaho,0.358
Iowa,0.358
Valparaiso,0.358
La Salle,0.358
Oral Roberts,0.358
Troy,0.359
Delaware St,0.359
E Illinois,0.359
FGCU,0.359
Minnesota,0.359
Stonehill,0.359
Idaho St,0.36
Michigan,0.361
Penn,0.361
Marshall,0.36200000000000004
SIU Edward,0.36200000000000004
South Dakota,0.36200000000000004
VMI,0.363
Buffalo,0.364
USC,0.365
Lipscomb,0.365
Air Force,0.366
N Illinois,0.366
Saint Louis,0.366
Incarnate Word,0.36700000000000005
Manhattan,0.36700000000000005
Bowling Green,0.36700000000000005
N Dakota St,0.368
Denver,0.368
E Washington,0.369
American,0.369
Fresno St,0.369
Wisconsin,0.369
Murray St,0.37
UTSA,0.37
Dartmouth,0.37
Miss Valley St,0.37
Detroit Mercy,0.371
SF Austin,0.371
Wright St,0.371
Louisville,0.37200000000000005
Kennesaw St,0.37200000000000005
Vanderbilt,0.374
Alcorn St,0.375
Northeastern,0.375
Lindenwood,0.376
IU Indy,0.37799999999999995
C Arkansas,0.379
Rice,0.379
Portland,0.38
DePaul,0.381
Pepperdine,0.385
Holy Cross,0.387
E Kentucky,0.387
San Jose St,0.389
Florida Intl,0.40299999999999997
