team,Seas_Fouls
Creighton,11.1
C Connecticut,11.3
Lipscomb,12.8
App State,13.4
St Bonaventure,13.5
Hou Christian,13.5
Tenn Tech,13.6
Butler,13.6
Vermont,13.7
S Alabama,13.8
Elon,13.8
C Arkansas,13.9
Liberty,13.9
UMass Lowell,14.0
Holy Cross,14.1
UL Monroe,14.2
Cincinnati,14.2
Manhattan,14.2
Kansas,14.3
Miami,14.4
Saint Joseph's,14.4
Harvard,14.4
Jacksonville St,14.4
Rider,14.4
W Illinois,14.5
Saint Louis,14.7
N Iowa,14.7
Colgate,14.8
Davidson,14.8
Stetson,14.8
Drexel,14.8
NC A&T,14.9
Marist,14.9
N Alabama,15.0
FGCU,15.0
New Orleans,15.0
G Washington,15.1
N Dakota St,15.1
Dartmouth,15.1
Saint Mary's,15.1
Furman,15.2
Clemson,15.2
Tennessee,15.2
Maine,15.3
UMBC,15.3
Virginia,15.3
N Texas,15.3
Penn,15.3
Maryland,15.3
Iowa,15.3
Stony Brook,15.4
Wichita St,15.4
Portland,15.4
Fresno St,15.4
Lafayette,15.4
Loyola MD,15.5
E Carolina,15.5
Niagara,15.5
Lamar,15.5
St Francis PA,15.5
UAB,15.6
Princeton,15.6
Louisville,15.6
Mt St Mary's,15.6
Georgetown,15.6
Belmont,15.6
Nebraska,15.6
UC Irvine,15.6
Kansas St,15.6
Charleston,15.7
TCU,15.7
Xavier,15.7
Columbia,15.7
Brown,15.7
Villanova,15.7
Notre Dame,15.7
Merrimack,15.7
Texas Tech,15.7
Pepperdine,15.7
NW State,15.8
Georgia Tech,15.8
W Georgia,15.8
Purdue,15.8
N Kentucky,15.8
Duke,15.8
Army,15.9
Sacred Heart,15.9
Toledo,15.9
UNLV,15.9
Canisius,16.0
Oregon St,16.0
Marquette,16.0
La Salle,16.0
Georgia St,16.0
Boston U,16.0
Tulsa,16.0
Campbell,16.0
Dayton,16.1
South Carolina,16.1
Montana St,16.1
Bethune,16.1
San Jose St,16.1
Bryant,16.1
Binghamton,16.1
Towson,16.1
Northeastern,16.1
Drake,16.2
The Citadel,16.2
N Arizona,16.2
Purdue FW,16.2
Iowa St,16.2
Oakland,16.2
Siena,16.2
Boise St,16.2
Arkansas,16.2
Illinois,16.2
F Dickinson,16.2
Oregon,16.3
Houston,16.3
Lehigh,16.3
BYU,16.3
Louisiana Tech,16.3
DePaul,16.3
Rhode Island,16.3
Troy,16.3
NC Greensboro,16.4
Yale,16.4
Santa Clara,16.4
Fairfield,16.4
Syracuse,16.4
Ball St,16.4
Pittsburgh,16.4
Baylor,16.4
Chattanooga,16.4
Wake Forest,16.5
Montana,16.5
Jackson St,16.5
California,16.5
Wisconsin,16.5
Navy,16.5
Penn St,16.5
Quinnipiac,16.5
New Hampshire,16.5
SF Austin,16.5
Colorado,16.5
Loyola Mymt,16.5
J Madison,16.6
C Michigan,16.6
Indiana,16.6
VMI,16.6
Georgia,16.6
McNeese,16.6
Evansville,16.6
NC State,16.6
West Virginia,16.6
George Mason,16.6
Morehead St,16.7
E Tennessee St,16.7
Michigan St,16.7
Mercyhurst,16.7
Miss Valley St,16.7
St John's,16.7
Alcorn St,16.7
Utah Valley,16.7
UCSD,16.7
Stonehill,16.7
Robert Morris,16.7
Mercer,16.7
Queens,16.8
SMU,16.8
E Texas A&M,16.8
SIU Edward,16.8
Valparaiso,16.8
LSU,16.8
NC Wilmington,16.8
Bradley,16.8
UT Rio Grande,16.8
Gonzaga,16.8
Grambling,16.8
Cornell,16.9
Illinois St,16.9
E Kentucky,16.9
Albany,16.9
Old Dominion,16.9
North Carolina,16.9
Arizona,16.9
S Illinois,16.9
S Dakota St,16.9
Incarnate Word,16.9
Lindenwood,17.0
Virginia Tech,17.0
Delaware,17.0
Wright St,17.0
UCSB,17.0
Arizona St,17.0
UT Martin,17.0
Florida,17.1
Rutgers,17.1
Southern Miss,17.1
Michigan,17.1
North Dakota,17.1
Stanford,17.1
Middle Tenn,17.2
Providence,17.2
Buffalo,17.2
Cal Baptist,17.2
Kentucky,17.2
Idaho St,17.2
Colorado St,17.2
Little Rock,17.2
UCLA,17.2
Texas So,17.2
UCF,17.2
Tulane,17.3
Florida Intl,17.3
SE Louisiana,17.3
Kansas City,17.3
Charlotte,17.3
Florida Atlantic,17.3
Wofford,17.3
Murray St,17.3
Mississippi St,17.4
Coppin St,17.4
Louisiana,17.4
S Florida,17.5
Texas A&M,17.5
Bowling Green,17.5
Nevada,17.5
Bellarmine,17.5
Minnesota,17.5
Richmond,17.5
New Mexico,17.6
Jacksonville,17.6
W Carolina,17.6
Loyola Chi,17.6
Grand Canyon,17.6
Northwestern,17.6
Idaho,17.6
USC,17.7
Radford,17.7
Milwaukee,17.7
Seattle,17.7
Hofstra,17.7
American,17.7
Wagner,17.7
Ohio,17.7
Norfolk St,17.8
Charleston So,17.8
Bucknell,17.8
Illinois Chicago,17.8
CS Fullerton,17.8
Portland St,17.8
IU Indy,17.8
Memphis,17.8
Coastal Car,17.8
Air Force,17.8
S Indiana,17.9
Rice,17.9
Sam Houston,17.9
Nicholls,17.9
W Michigan,17.9
Cleveland St,17.9
Duquesne,17.9
Austin Peay,17.9
Miami OH,17.9
Vanderbilt,17.9
Monmouth,17.9
UT Arlington,18.0
N Colorado,18.0
VCU,18.0
Seton Hall,18.0
Temple,18.1
William & Mary,18.1
Hawai'i,18.1
E Michigan,18.1
N Florida,18.1
Florida A&M,18.1
Akron,18.2
UTEP,18.2
Weber St,18.2
Utah St,18.2
Missouri,18.2
Mississippi,18.3
UConn,18.3
Iona,18.3
Cal Poly,18.3
Texas A&M-CC,18.3
UC Riverside,18.3
S Utah,18.3
UMass,18.3
Kent St,18.3
Presbyterian,18.3
High Point,18.3
St Thomas,18.3
Green Bay,18.3
Long Beach St,18.3
Omaha,18.4
Alabama St,18.4
Missouri St,18.4
UC Davis,18.4
NJIT,18.4
Arkansas St,18.4
Washington,18.4
Boston College,18.4
Auburn,18.5
New Mexico St,18.5
Texas St,18.5
Oklahoma,18.5
Utah,18.5
San Diego St,18.5
Pacific,18.6
Oral Roberts,18.6
Maryland ES,18.6
Texas,18.7
Delaware St,18.7
Morgan St,18.7
Longwood,18.7
UTSA,18.7
Southern,18.8
SE Missouri St,18.8
Hampton,18.8
Prairie View,18.8
Youngstown St,18.8
Gardner-Webb,18.8
E Washington,18.8
Saint Peter's,18.9
Fordham,18.9
E Illinois,18.9
LIU,18.9
San Francisco,18.9
Alabama,18.9
Chicago St,19.0
Washington St,19.0
Detroit Mercy,19.0
W Kentucky,19.0
Sacramento St,19.0
Wyoming,19.1
Florida St,19.1
AR-Pine Bluff,19.1
Indiana St,19.1
South Dakota,19.1
Howard,19.2
Tarleton St,19.3
Le Moyne,19.3
NC Asheville,19.3
Kennesaw St,19.3
SC Upstate,19.4
Utah Tech,19.4
Oklahoma St,19.4
Tennessee St,19.4
Marshall,19.5
Ohio St,19.6
Georgia So,19.7
Samford,19.8
N Illinois,20.0
Winthrop,20.3
NC Central,20.3
CS Bakersfield,20.6
CS Northridge,21.0
San Diego,21.2
Alabama A&M,21.3
Abl Christian,21.4
S Carolina St,21.5
Denver,22.4
