team,Seas_Succ_3PT
Army,0.435
VMI,0.43200000000000005
Texas Tech,0.43
Wisconsin,0.425
Cornell,0.425
Sacred Heart,0.424
N Florida,0.423
E Kentucky,0.42200000000000004
Cleveland St,0.41600000000000004
Charleston So,0.414
Alabama,0.414
Nebraska,0.409
Louisville,0.408
Liberty,0.40299999999999997
Lipscomb,0.402
Dartmouth,0.401
Cal Poly,0.4
C Arkansas,0.39899999999999997
Stony Brook,0.396
Chattanooga,0.39299999999999996
Creighton,0.39299999999999996
Colorado St,0.39299999999999996
Delaware,0.39
Belmont,0.389
Iona,0.38799999999999996
Florida St,0.38799999999999996
Illinois,0.38799999999999996
The Citadel,0.385
Youngstown St,0.384
Tulsa,0.379
Rice,0.37799999999999995
Saint Louis,0.37799999999999995
Loyola MD,0.377
Indiana,0.377
Virginia,0.376
Akron,0.376
Idaho,0.375
Stetson,0.375
Villanova,0.374
Hofstra,0.374
Montana St,0.373
Marshall,0.373
Washington St,0.37200000000000005
San Diego,0.37200000000000005
Davidson,0.37200000000000005
NC State,0.371
Bryant,0.371
Buffalo,0.37
Georgia So,0.37
Texas A&M,0.37
Boston U,0.369
Loyola Chi,0.369
American,0.368
Minnesota,0.368
Cincinnati,0.368
Drake,0.368
Purdue FW,0.36700000000000005
Santa Clara,0.366
UT Rio Grande,0.366
San Francisco,0.365
Middle Tenn,0.365
G Washington,0.364
Stanford,0.364
Maryland,0.364
Coastal Car,0.363
Notre Dame,0.363
Princeton,0.36200000000000004
Samford,0.361
Charlotte,0.361
E Texas A&M,0.361
Robert Morris,0.359
Queens,0.359
UCSB,0.359
Xavier,0.358
Louisiana,0.35700000000000004
St Thomas,0.35700000000000004
N Dakota St,0.35600000000000004
Kansas St,0.35600000000000004
Richmond,0.353
Oklahoma,0.353
Merrimack,0.353
Nicholls,0.353
New Hampshire,0.35200000000000004
Furman,0.35100000000000003
F Dickinson,0.35
Oral Roberts,0.349
UT Martin,0.349
California,0.349
Kent St,0.348
Drexel,0.348
Pittsburgh,0.348
Troy,0.34700000000000003
N Illinois,0.34700000000000003
Vermont,0.34700000000000003
Oregon St,0.34600000000000003
Elon,0.34600000000000003
Evansville,0.34600000000000003
Wofford,0.34600000000000003
Saint Joseph's,0.345
Indiana St,0.344
SF Austin,0.344
Radford,0.34299999999999997
VCU,0.34299999999999997
J Madison,0.34299999999999997
Canisius,0.342
Stonehill,0.342
N Kentucky,0.342
Houston,0.342
UTEP,0.342
Illinois St,0.341
IU Indy,0.341
Wake Forest,0.341
Purdue,0.341
CS Fullerton,0.341
Murray St,0.341
Jackson St,0.34
Niagara,0.34
Incarnate Word,0.33899999999999997
New Mexico,0.33899999999999997
Miami OH,0.33799999999999997
Mt St Mary's,0.33799999999999997
Bradley,0.337
Loyola Mymt,0.336
Arkansas St,0.335
West Virginia,0.335
App State,0.335
UC Davis,0.335
Winthrop,0.33399999999999996
W Carolina,0.33299999999999996
Duquesne,0.33299999999999996
Clemson,0.332
Georgia St,0.332
Duke,0.331
Iowa St,0.331
Oregon,0.331
Vanderbilt,0.33
N Colorado,0.32899999999999996
Harvard,0.32899999999999996
S Florida,0.32899999999999996
UCSD,0.32899999999999996
N Iowa,0.32799999999999996
UTSA,0.32799999999999996
Bucknell,0.32799999999999996
Georgia,0.32799999999999996
UL Monroe,0.32799999999999996
Montana,0.32799999999999996
San Jose St,0.327
Kennesaw St,0.327
Tulane,0.327
Virginia Tech,0.326
Marquette,0.326
St Francis PA,0.325
Penn,0.325
Boston College,0.324
North Carolina,0.324
Wyoming,0.324
Wagner,0.32299999999999995
UConn,0.322
Omaha,0.322
Bellarmine,0.322
NC Greensboro,0.322
Boise St,0.322
Lehigh,0.321
Providence,0.321
Idaho St,0.321
South Carolina,0.32
Denver,0.319
Iowa,0.319
Gardner-Webb,0.319
Columbia,0.319
Air Force,0.318
North Dakota,0.318
S Indiana,0.318
SIU Edward,0.318
Ball St,0.318
Lafayette,0.318
NC Wilmington,0.317
Rhode Island,0.317
Jacksonville St,0.317
Mississippi St,0.316
S Dakota St,0.316
Le Moyne,0.314
High Point,0.313
NJIT,0.313
W Kentucky,0.313
Michigan,0.313
N Arizona,0.313
UMBC,0.313
Utah Tech,0.312
Fresno St,0.312
Utah,0.311
Sam Houston,0.31
Mercer,0.31
Missouri St,0.31
Yale,0.31
Seattle,0.31
Saint Mary's,0.309
BYU,0.309
UCLA,0.309
Albany,0.309
Old Dominion,0.309
Alabama St,0.309
W Michigan,0.308
Baylor,0.307
DePaul,0.307
New Mexico St,0.307
Dayton,0.306
FGCU,0.306
Pepperdine,0.306
Northeastern,0.305
Utah St,0.305
Ohio St,0.304
Valparaiso,0.304
Saint Peter's,0.303
Milwaukee,0.303
Fairfield,0.302
New Haven,0.302
SMU,0.301
Austin Peay,0.301
Kentucky,0.3
William & Mary,0.299
Florida Atlantic,0.298
Pacific,0.298
Florida A&M,0.29600000000000004
C Connecticut,0.295
Holy Cross,0.294
UC Riverside,0.293
Kansas,0.292
Arizona St,0.292
Michigan St,0.29100000000000004
Colgate,0.29100000000000004
UCF,0.29100000000000004
AR-Pine Bluff,0.29100000000000004
Lamar,0.29
Grambling,0.29
Manhattan,0.29
S Alabama,0.289
E Tennessee St,0.28800000000000003
Auburn,0.28800000000000003
Jacksonville,0.28800000000000003
Quinnipiac,0.287
Green Bay,0.287
Fordham,0.28600000000000003
Syracuse,0.28600000000000003
Alcorn St,0.28600000000000003
Monmouth,0.285
UMass,0.285
Brown,0.284
TCU,0.28300000000000003
Kansas City,0.28300000000000003
SC Upstate,0.28300000000000003
Georgia Tech,0.282
Marist,0.282
Mississippi,0.281
Penn St,0.281
UNLV,0.281
S Utah,0.28
S Carolina St,0.28
Maine,0.28
Rutgers,0.28
Hou Christian,0.27899999999999997
Colorado,0.27899999999999997
Grand Canyon,0.27899999999999997
E Washington,0.27899999999999997
Little Rock,0.27899999999999997
Hawai'i,0.278
SE Louisiana,0.278
Arkansas,0.278
Wichita St,0.27699999999999997
Long Beach St,0.276
St Bonaventure,0.276
C Michigan,0.276
Temple,0.276
Coppin St,0.275
Toledo,0.27399999999999997
W Georgia,0.273
NC Asheville,0.273
Tenn Tech,0.273
Oklahoma St,0.272
W Illinois,0.271
Campbell,0.271
Morgan St,0.271
Bowling Green,0.271
Missouri,0.271
Alabama A&M,0.27
Towson,0.27
Sacramento St,0.27
Ohio,0.26899999999999996
NC Central,0.268
Hampton,0.268
NW State,0.266
Howard,0.266
Florida Intl,0.266
Wright St,0.266
Charleston,0.266
Southern,0.265
Georgetown,0.265
Texas,0.265
Oakland,0.265
Cal Baptist,0.264
Portland St,0.264
Navy,0.264
SE Missouri St,0.264
Chicago St,0.263
Nevada,0.261
George Mason,0.261
South Dakota,0.261
San Diego St,0.261
Northwestern,0.261
Washington,0.261
Memphis,0.26
CS Northridge,0.26
Butler,0.26
Texas A&M-CC,0.26
Detroit Mercy,0.26
Weber St,0.258
E Michigan,0.257
McNeese,0.256
Florida,0.255
St John's,0.254
N Alabama,0.254
Mercyhurst,0.254
Texas So,0.254
Longwood,0.252
Maryland ES,0.25
LSU,0.25
Illinois Chicago,0.25
Portland,0.248
UMass Lowell,0.247
Tennessee St,0.24600000000000002
Abl Christian,0.24600000000000002
Norfolk St,0.245
Tennessee,0.245
E Illinois,0.245
Utah Valley,0.245
Louisiana Tech,0.244
USC,0.244
LIU,0.242
Miami,0.24100000000000002
New Orleans,0.24
La Salle,0.24
Prairie View,0.24
Gonzaga,0.235
NC A&T,0.23399999999999999
Miss Valley St,0.233
N Texas,0.23199999999999998
Morehead St,0.23199999999999998
UC Irvine,0.231
Binghamton,0.22899999999999998
Siena,0.22899999999999998
E Carolina,0.228
Bethune,0.226
Delaware St,0.225
Lindenwood,0.222
UT Arlington,0.214
Rider,0.214
UAB,0.20800000000000002
Presbyterian,0.20600000000000002
CS Bakersfield,0.20600000000000002
Arizona,0.205
S Illinois,0.204
Seton Hall,0.203
Southern Miss,0.192
Texas St,0.18899999999999997
Tarleton St,0.185
